name,image
"توصيلة لي زينة 8مل",
"دايمر 1000واط اسود بيانو لوكسفاي",
"فيش 13A مفرد اسود بيانو لوكسفاي",
"مفتاح ديمر 1000واط بيانو AULMO PLUS",
"فيش مع مفتاح 13A اسود بيانو AULMO PLUS",
"ليد ثقة 16واط IP65",
"كشاف 1000 واط HI PLUS ابيض",
"U bolt",
"كوع زاوية مجاري 160مم نيبرو بلاست",
"قلاب رمل كبير",
"سدة كاب 110 خفيف بحريني",
"ماسورة 2بوصة بحريني ضغط 40 ابيض",
"Wire nut 4mm",
"قفيز لي 1 بوصة 32مم",
"مغسلة تعليق ابيض C03 TAK",
"قسام واي مجاري 110 نيبروبلاست",
"صفاية بلاط 20*20 ايطالي Schlocer",
"اتوماتيك بوغاتي",
"كرسي RG كبير",
"قفيز ربر 1 بوصة",
"قفيز ربر 1*1/4",
"قفيز ربر 2 بوصة",
"قفيز ربر 3 بوصة",
"قفيز ربر 110مم",
"قسام مجاري 110*50مم نيبروبلاست",
"قسام مجاري 110*75مم نيبروبلاست",
"قسام مجاري 75مم نيبروبلاست",
"قسام مجاري نيبرو بلاست 110مم",
"سدة كاب رمادي 160 كلاس 5",
"سدة كاب رمادي 75مم",
"سدة كاب رمادية 50مم",
"شحم 1 نيبرو",
"ماسورة 160مم 7.7 نيبرو كلاس 4",
"جلبة نقاص مجاري 110*3 فابكو",
"نقاص مجاري 160*110 نيبروبلاست",
"سدة مجاري 110 نيبروبلاست",
"سدة مجاري 160 نيبرو بلاست",
"كوع زاوية مجاري 110 نيبروبلاست",
"كوع فاتح مجاري 110 نيبروبلاست",
"جلبة مجاري 110 نيبروبلاست",
"قسام مجاري 110 نيبروبلاست",
"قسام مجاري 160*110 نيبروبلاست",
"كوع فاتح مجاري 160 نيبروبلاست",
"جلبة مجاري 160 نيبرو بلاست",
"قسام واي 160*110 نيبرو بلاست",
"قسام واي مجاري 160 نيبرو بلاست",
"دسك جرانيت مقطع 4.5 TB",
"مفك OX 10*250MM",
"قلاب رمل كبير ابيض",
"جلبة 63مل لحام كهرباء HDPE",
