name,image,url,title
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/c4925e5b-0a9d-4a25-97d8-f5f9dcd9254f-500x500-S58jyGLo1UWbGuPuFVru2kXlM6zK9z5kipNk3DLR.jpg,https://elburoj.com/en/schneider-sub-breaker-3-lines-25-amps-acti9-ic60n-a9f44325-c-curve/p1592866468,"Schneider Sub Breaker - 3 Lines - 25 Amps - ACTI9 iC60N A9F44325, C Curve"
ش,https://cdn.salla.sa/vXZPEy/e0e1fbdf-92a2-467f-901d-45341014ff34-500x500-ZBwycED7NaEW4ZQWNXDeNCm4BgrkH7ZzJj75N3If.jpg,https://elburoj.com/ar/لوحة-توزيع-كهربائية-ديسبو-من-شنايدر-30-بول-200-أمبير-dbx330ez200afd/p685659557,"اشترِ لوحة توزيع كهربائية ديسبو من شنايدر 30 خط - DBX330EZ200AFD"
"- m*2.10m1.20",https://cdn.salla.sa/vXZPEy/c382b72d-66e7-4ddd-81c4-d52fd4e77d7a-500x500-GguIVYfIj4ayyOzjYfB0IFZX8sq5M6AKI06hPPEW.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-2-بول-16-أمبير-acti9-ic60n-a9f44216-c-curve/p2059105446,"قاطع فرعي من شنايدر - 2 بول - 16 أمبير - ACTI9 iC60N A9F44216, C Curve"
"- m*2.10m1.20",https://cdn.salla.sa/vXZPEy/c382b72d-66e7-4ddd-81c4-d52fd4e77d7a-500x500-GguIVYfIj4ayyOzjYfB0IFZX8sq5M6AKI06hPPEW.jpg,https://elburoj.com/en/schneider-sub-breaker-2-lines-16-amps-acti9-ic60n-a9f44216-c-curve/p2059105446,"Schneider Sub Breaker - 2 Lines - 16 Amps - ACTI9 iC60N A9F44216, C Curve"
ش,https://cdn.salla.sa/vXZPEy/c1461e2c-1599-496a-87b6-4f32947b4764-500x500-9UmCuyCKthOjkTAWKvcHO7DrZD1I9lp3MIc0VN2m.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-2-خط-40-أمبير-domae-17064-c-curve/p1417778087,"اشترِ قاطع فرعي Domae 17064 من شنايدر 2 خط"
"- m*2.10m1.20",https://cdn.salla.sa/vXZPEy/c1461e2c-1599-496a-87b6-4f32947b4764-500x500-9UmCuyCKthOjkTAWKvcHO7DrZD1I9lp3MIc0VN2m.jpg,https://elburoj.com/en/schneider-sub-breaker-2-lines-40-amps-domae-17064-c-curve/p1417778087,"Schneider Sub Breaker - 2 Lines - 40 Amps - Domae 17064, C Curve"
ش,https://cdn.salla.sa/vXZPEy/f69864a0-3d2b-4cf5-a64d-e6c11e5fa54a-500x500-EuQLc7i8uuXvlGw6wbj5oL3raLpPJZGJ9rP6uiBX.jpg,https://elburoj.com/ar/قاطع-فرعي-من-شنايدر-1-بول-63-أمبير-acti9-ic60n-a9f44163-c-curve/p1884017057,"اشترِ قاطع فرعي A9F44163 من شنايدر 1 بول"
"U PVC male adapter 1 inch",https://cdn.salla.sa/vXZPEy/f69864a0-3d2b-4cf5-a64d-e6c11e5fa54a-500x500-EuQLc7i8uuXvlGw6wbj5oL3raLpPJZGJ9rP6uiBX.jpg,https://elburoj.com/en/schneider-sub-breaker-1-line-63-amps-acti9-ic60n-a9f44163-c-curve/p1884017057,"Schneider Sub Breaker - 1 Line - 63 Amps - ACTI9 iC60N A9F44163, C Curve"
ش,https://cdn.salla.sa/vXZPEy/cee1f61a-0575-423a-aa8b-3f7b82bc1339-500x500-NFZRIoHHguFKQUy3eukpYMWq6M8jbSq3iIN3ehcS.jpg,https://elburoj.com/ar/لوحة-توزيع-كهربائية-ديسبو-من-شنايدر-12-بول-100-أمبير-dbx312mez100/p536682403,"اشترِ لوحة توزيع كهربائية ديسبو من شنايدر 12 خط"
"SCHNEIDER BREAKER MCCB  ثلثي قاطع /EZ100N 3P80A 18KA",https://cdn.salla.sa/vXZPEy/cee1f61a-0575-423a-aa8b-3f7b82bc1339-500x500-NFZRIoHHguFKQUy3eukpYMWq6M8jbSq3iIN3ehcS.jpg,https://elburoj.com/en/schneider-dispo-electrical-distribution-panel-12-lines-100-amps-dbx312mez100/p536682403,"Schneider Dispo Electrical Distribution Panel - 12 Lines - 100 Amps - DBX312MEZ100"
